HolderAddress	Balance	PendingBalanceUpdate
0x2ca730eb821e22316fdfe11ad81d1b96a675b0e4	7,278.76	No
0xdd3905b883ce1d037cbbbb588c0b51d20426db68	27.66332324	No
0x020c811f28441166127c67517101bd9ad15ef433	18	No
0xa713c7937398d17fd292ae74a4a01ebb79b83c26	8.335248969	No
0xaaf226645afbe25a33ac29dae43a009fea6e6f48	8.193711093	No
0x012ee90231e54c7c4e0abc0d154b759c2efa7617	7.163679285	No
0x8a2ec4cc1d731bbace15fc5d234690a0788610a7	6.037709105	No
0x72c5cd18a51d53db34072546a7a38a4f73600d92	6.009520942	No
0x83e94b08a2bd98f886f9a3daee94899d600fceae	6	No
0x3406a02a07236bf0473fdf1162a06c26a4af6b59	5.248029437	No
0x52edb7397e36ba306104b629855c694fd4747e51	5.02	No
0xea80f95593362de319b7ddba522d7ae6de9c2a1a	5.014414567	No
0xe2a26d5174b133abc4b338df1b07295f03a4c85e	5.002932665	No
0x2c47f450d06132fc3ef54ad8336212ade35a7841	5.002046244	No
0x67ad6b170e42adee552d5c0b9195eaa1f0dd9a03	4.866586792	No
0x58ce6fc03561961c9947ba1ffffb9146bc75d903	4.23529266	No
0x92954c71e5713644768ec1fa50e7254600dcf504	4.126049642	No
0xa8c5caa20a405e61e877936e63cfbe59a5921bb6	4.124819285	No
0x4a511876050a5e91faf8621b0167614f0fb39d7c	4.103054589	No
0x89fdca36dd2dec98030acf99a9c37e5790c833e2	4.09877999	No
0xac4ddaf8fbffba0f1e8c7619720335fd4f03eacd	4.036320687	No
0x1cacab46201ec798d92b5a80b5a89e74559fb03b	4.035780564	No
0x5677efae6440b779f97d1752597b940155c92922	4.002385065	No
0xf4f179b5b81383d725211fe8b5a4c1b03f93d526	4.001982523	No
0x8af2cc382a57ef846c147669e050a3e5a3804cdf	4.000792189	No
0xa305cef20c8fc7091e9a0099bf41ecf009dccb25	3.865809448	No
0xc615e8f2c8c6d7c36373445716dc9ed24b8a5918	3.590509371	No
0xe81ba02bb44d8cea89c5ceaf18b340c1b8666861	3.441411548	No
0x20c285e69e1747564376022303988aed8afe1a4e	3.389894098	No
0x5ec8cd4881eba87279f5f243eb89ea9383e677c6	3.243969462	No
0x3ed49a7742f802cd738f833dea235a2046853819	3.21355487	No
0x672c3b982325be86e221fe5d0eb5391ffa9cc8fc	3.182366811	No
0x3b30d44df9afffc07a51457e18410c4ca0f90896	3.109099704	No
0x8dbfe45c6eef525c486633dd74f22bab0cc755be	3.095081952	No
0xcd27430eed1ea5e2b8a3ef95d90c14d2b21552a8	3.081297315	No
0x4ae32537c556847a2ea8e88ca6122b73cc18a5af	3.054824294	No
0x6b8e125ce4b16a077076eac4a8f6e2ae492374c4	3.047295538	No
0xd4b69ad024dc7768e69704aae4fa3ae9bf0b9ff8	3.045782654	No
0x25499543f0d495b4a1dc2bc82ec5acccc39d31d4	3.017782392	No
0x0ba820d2253de0d0160037f999108162b5342948	3.01743311	No
0xf8de1e04e35d3059ed38a80c23a85884c3a12833	3.013349471	No
0x84dccfb3f3e044229fa00e216e2829725579d97f	3.005779181	No
0x6e1fddd19848fdc02217609d1ae731d8017be56f	3.005052419	No
0x18b191cc6786b581763002580377d408903916ee	3.00363839	No
0x26713f39167001e25bce88ce97fdf76d5a6fb9ea	3.000933303	No
0x179cc6cc90d9456f95389ae66a6d28ba0b41b291	3.000350813	No
0x2702ca6f4695153eb7c7c6d1a424c37f02e042ff	3.000089565	No
0xa3f089891e8a34fd56226688cb577e257d12b7f3	3	No
0xcd37a2bc9f7a2f318157de82008eecd3d9c2c7d3	3	No
0x198f72966fd41cacd564c71bfe43af8d80db8b24	2.954597974	No
0x5c44717f199607fcd4cfc3c6003d16a68f6e039b	2.762355112	No
0x6e0f57c1594cfa1abbae4b5c5b7a07367b368b0d	2.583036531	No
0x7a63b330f976d825fcd4ca92688ffccd2f11ec61	2.530822148	No
0x94fca03fad5b102d513690ce4ae1d436b5be11d3	2.5	No
0x8c57d1fab10d4b78f49ef5c6abaeb76a63710f61	2.482241288	No
0xd65bf5e2843463ad1857cd1f464598d79332d0b6	2.473172995	No
0x5438426405e75922def197437aadef97d2411f2d	2.46786235	No
